Province/State,Country/Region,Lat,Long,cases,fips_code
"King County, WA",US,47.6062,-122.3321,116,53033
"Cook County, IL",US,41.7377,-87.6976,11,17031
"Los Angeles, CA",US,34.0522,-118.2437,20,06037
"San Benito, CA",US,36.5761,-120.9876,2,06069
"San Diego County, CA",US,32.7157,-117.1611,3,06073
"Humboldt County, CA",US,40.745,-123.8695,1,06023
"Sacramento County, CA",US,38.4747,-121.3542,10,06067
"Snohomish County, WA",US,48.033,-121.8339,37,53061
"Grafton County, NH",US,43.9088,-71.826,3,33009
"Hillsborough, FL",US,27.9904,-82.3018,2,12057
"Placer County, CA",US,39.0916,-120.8039,7,06061
"San Mateo, CA",US,37.563,-122.3255,9,06081
"Sonoma County, CA",US,38.578,-122.9888,3,06097
"Umatilla, OR",US,45.775,-118.7606,1,41059
"Fulton County, GA",US,33.8034,-84.3963,5,17057
"Washington County, OR",US,45.547,-123.1386,8,41067
"Norfolk County, MA",US,42.1767,-71.1449,10,25021
"Maricopa County, AZ",US,33.2918,-112.4291,2,04013
"Wake County, NC",US,35.8032,-78.5661,6,37183
"Westchester County, NY",US,41.122,-73.7949,98,36119
"Orange County, CA",US,33.7879,-117.8531,5,06059
"Contra Costa County, CA",US,37.8534,-121.9018,9,06013
"Bergen County, NJ",US,40.9263,-74.077,7,34003
"Harris County, TX",US,29.7752,-95.3103,6,48201
"San Francisco County, CA",US,37.7749,-122.4194,15,06075
"Clark County, NV",US,36.0796,-115.094,2,32003
"Fort Bend County, TX",US,29.5693,-95.8143,6,48157
"Grant County, WA",US,47.1981,-119.3732,1,53025
"Santa Rosa County, FL",US,30.769,-86.9824,1,12113
"Williamson County, TN",US,35.9179,-86.8622,1,47187
"New York County, NY",US,40.7128,-74.006,25,36061
"Montgomery County, MD",US,39.1547,-77.2405,4,24031
"Suffolk County, MA",US,42.3601,-71.0589,10,25025
"Denver County, CO",US,39.7392,-104.9903,3,08031
"Summit County, CO",US,39.5912,-106.064,1,08117
"Chatham County, NC",US,35.7211,-79.1781,1,37037
"Delaware County, PA",US,39.9078,-75.3879,1,42045
"Douglas County, NE",US,41.3148,-96.1951,3,31055
"Fayette County, KY",US,38.0606,-84.4803,2,21067
"Marion County, IN",US,39.8362,-86.1752,1,18097
"Middlesex County, MA",US,42.4672,-71.2874,15,25017
"Nassau County, NY",US,40.6546,-73.5594,19,36059
"Ramsey County, MN",US,44.9964,-93.0616,1,27123
"Washoe County, NV",US,40.5608,-119.6035,2,32031
"Wayne County, PA",US,41.6739,-75.2479,1,42127
"Yolo County, CA",US,38.7646,-121.9018,1,06113
"Santa Clara County, CA",US,37.3541,-121.9552,43,06085
"Douglas County, CO",US,39.2587,-104.9389,3,08035
"Providence County, RI",US,41.8882,-71.4774,3,44007
"Alameda County, CA",US,37.6017,-121.7195,3,06001
"Broward County, FL",US,26.1901,-80.3659,5,12011
"Lee County, FL",US,26.663,-81.9535,2,12071
"Pinal County, AZ",US,32.8162,-111.2845,3,04021
"Rockland County, NY",US,41.1489,-73.983,4,36087
"Saratoga County, NY",US,43.0324,-73.936,2,36091
"Charleston County, SC",US,32.7957,-79.7848,1,45019
"Clark County, WA",US,45.7466,-122.5194,1,53011
"Cobb County, GA",US,33.8999,-84.5641,4,13067
"Davis County, UT",US,40.9629,-112.0953,1,49011
"El Paso County, CO",US,38.9108,-104.4723,1,48141
"Honolulu County, HI",US,21.307,-157.8584,1,15003
"Jackson County, OR ",US,42.3345,-122.7647,2,41029
"Jefferson County, WA",US,47.7425,-123.304,1,53031
"Kershaw County, SC",US,34.3672,-80.5883,1,45055
"Klamath County, OR",US,42.6953,-121.6142,1,41035
"Madera County, CA",US,37.2519,-119.6963,1,06039
"Pierce County, WA",US,47.0676,-122.1295,4,53053
"Tulsa County, OK",US,36.1593,-95.941,2,40143
"Montgomery County, PA",US,40.229,-75.3879,8,42091
"Fairfax County, VA",US,38.9085,-77.2405,4,51059
"Rockingham County, NH",US,42.9931,-71.0498,1,33015
"Washington, D.C.",US,38.9072,-77.0369,5,11001
"Berkshire County, MA",US,42.3118,-73.1822,5,25003
"Davidson County, TN",US,36.1343,-86.822,1,47037
"Douglas County, OR",US,43.1261,-123.2492,1,41019
"Fresno County, CA",US,36.9859,-119.2321,1,06019
"Harford County, MD",US,39.5839,-76.3637,1,24025
"Hendricks County, IN",US,39.8065,-86.5401,2,18063
"Hudson County, NJ",US,40.7453,-74.0535,1,34017
"Johnson County, KS",US,38.8454,-94.8521,1,20091
"Kittitas County, WA",US,47.175,-120.9319,1,53037
"Manatee County, FL",US,27.4799,-82.3452,2,12081
"Marion County, OR",US,44.8446,-122.5927,1,18097
"Okaloosa County, FL",US,30.5773,-86.6611,1,12091
"Polk County, GA",US,34.0132,-85.1479,1,13233
"Riverside County, CA",US,33.9533,-117.3961,4,06065
"Shelby County, TN",US,35.1269,-89.9253,1,47157
"St. Louis County, MO",US,38.6103,-90.4125,1,29189
"Suffolk County, NY",US,40.9849,-72.6151,1,36103
"Ulster County, NY",US,41.8586,-74.3118,1,36111
"Volusia County, FL",US,29.028,-81.0755,2,12127
"Johnson County, IA",US,41.6699,-91.5984,7,19103
"Harrison County, KY",US,38.4333,-84.3542,2,21097
"Bennington County, VT",US,43.0279,-73.135,1,50003
"Carver County, MN",US,44.8254,-93.7842,1,27019
"Charlotte County, FL",US,26.8946,-81.9098,1,12015
"Cherokee County, GA",US,34.2515,-84.4803,1,13057
"Collin County, TX",US,33.1795,-96.493,3,48085
"Jefferson County, KY",US,38.1938,-85.6435,1,21111
"Jefferson Parish, LA",US,29.6499,-90.1121,1,22051
"Shasta County, CA",US,40.7909,-121.8474,1,06089
"Spartanburg County, SC",US,34.8606,-81.9535,1,45083
"Kitsap, WA",US,47.6477,-122.6413,1,53035
"Solano, CA",US,38.3105,-121.9018,3,06095
"Santa Cruz, CA",US,37.0454,-121.958,2,06087
"Napa, CA",US,38.5025,-122.2654,1,06055
"Ventura, CA",US,34.3705,-119.1391,1,06111
"Worcester, MA",US,42.4097,-71.8571,1,25027
"Gwinnett, GA",US,33.9191,-84.0167,2,13135
"DeKalb, GA",US,33.7956,-84.2279,2,18033
"Floyd, GA",US,37.5455,-82.7779,1,13115
"Fayette, GA",US,33.4502,-84.4803,1,13113
"Gregg, TX",US,32.4893,-94.8521,1,48183
"Monmouth, NJ",US,40.2589,-74.124,2,34025
"Burlington, NJ",US,40.0712,-74.8649,2,34005
"Camden, NJ",US,39.9259,-75.1196,1,34007
"Passaic, NJ",US,40.8568,-74.1285,1,34031
"Union, NJ",US,40.6976,-74.2632,1,34039
"Eagle, CO",US,39.6553,-106.8287,2,08037
"Larimer, CO",US,40.6956,-105.5943,2,08069
"Arapahoe, CO",US,39.6203,-104.3326,2,08005
"Gunnison, CO",US,38.5458,-106.9253,1,08051
"Kane, IL",US,41.9879,-88.4016,1,17089
"Monroe, PA",US,41.0458,-75.2479,1,42089
"Philadelphia, PA",US,39.9526,-75.1652,1,42101
"Norfolk, VA",US,36.8508,-76.2859,2,51710
"Arlington, VA",US,38.8816,-77.091,1,51013
"Spotsylvania, VA",US,38.2042,-77.6078,1,51177
"Loudoun, VA",US,39.0768,-77.6536,1,51107
"Prince George, MD",US,38.7849,-76.8721,3,24033
"Pottawattamie, IA",US,41.3912,-95.4778,1,19155
"Camden, SC",US,34.2465,-80.607,4,45055
